"","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","bua","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","Reliability","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","a$cluster","log","lan"
"13729","General observations","Observation","place",4464.560476,"watercourse_stream",0.009556676,"N","N","N","N","N",207,-0.0143999997526407,35,121,106,16,2.24620008468628,0.0183000005781651,1.14702248573303,12.7443332672119,295.804290771484,7.6020998954773,76.3979034423828,14.6028995513916,103,15.5734996795654,"low reliability",145.08131,-37.48373
"13730","General observations","Captured and released","place",2478.402014,"road",0.012761869,"N","Y","Y","N","N",50.5999984741211,-0.0140000004321337,20,139,127,16,1.70000004768372,0.0149999996647239,0,1.76559710502625,252.795303344727,2.79959988594055,87.6732025146484,79.7995986938477,113,17.2357006072998,"low reliability",141.48942,-38.3357
"13731","General observations","Seen","place",671.0314455,"road",0.001685683,"Y","N","N","N","N",7,-0.00549999997019768,37,140,104,19,0.795499980449677,0.0133999995887279,0,1.76559710502625,260.69970703125,2.19670009613037,88.6996994018555,55.2018013000488,106,15.1555004119873,"low reliability",142.45097,-38.35748
"13732","General observations","Captured and released","place",9811.717431,"watercourse_stream",0.001866496,"N","N","N","N","N",284.600006103516,-0.0159000009298325,32,120,104,16,1.31850004196167,0.00740000000223517,1.147421002388,12.5297536849976,294.017913818359,-1.57369995117188,68.5736999511719,19.4242992401123,109,16.0356998443604,"low reliability",143.26217,-37.64716
"13733","General observations","Seen","place",671.0314455,"road",0.001685683,"Y","N","N","N","N",7,-0.00549999997019768,37,140,104,19,0.795499980449677,0.0133999995887279,0,1.76559710502625,260.69970703125,2.19670009613037,88.6996994018555,55.2018013000488,106,15.1555004119873,"low reliability",142.45097,-38.35748
"13734","General observations","Seen","place",671.0314455,"road",0.001685683,"Y","N","N","N","N",7,-0.00549999997019768,37,140,104,19,0.795499980449677,0.0133999995887279,0,1.76559710502625,260.69970703125,2.19670009613037,88.6996994018555,55.2018013000488,106,15.1555004119873,"low reliability",142.45097,-38.35748
"13735","General observations","Observation","place",6010.438013,"road",0.017105327,"N","Y","Y","N","Y",64.1999969482422,-0.214200004935265,16,154,118,19,1.77380001544952,0.0163000002503395,1.10801422595978,16.8526420593262,287.767395019531,19.1664009094238,80.6779022216797,35.8646011352539,103,14.0253000259399,"low reliability",145.28898,-37.94655
"13736","General observations","Seen","place",671.0314455,"road",0.001685683,"Y","N","N","N","N",7,-0.00549999997019768,37,140,104,19,0.795499980449677,0.0133999995887279,0,1.76559710502625,260.69970703125,2.19670009613037,88.6996994018555,55.2018013000488,106,15.1555004119873,"low reliability",142.45097,-38.35748
"13737","General observations","Captured and released","place",1785.144682,"road",0.002038449,"N","N","Y","N","N",248.199996948242,-0.0727000012993813,53,6,91,16,2.32220005989075,0.0681999996304512,0.900427937507629,13.5968761444092,311.560302734375,2.83299994468689,75.046501159668,35.5238990783691,103,16.6933002471924,"low reliability",145.40377,-37.21093
"13782","Owl census","Heard","mountain",751.7066412,"road",0.001122971,"N","Y","N","N","Y",463.399993896484,-1.8779000043869,7,105,124,7,2.65590000152588,0.0776999965310097,0.482403159141541,9.84686470031738,261.205413818359,43.4863014221191,61.198600769043,94.4865036010742,7,12.5539999008179,"low reliability",145.68506,-37.88044
