temp_id,LATITUDEDD_NUM,LONGITUDEDD_NUM,bay,bua,forest,island,island_marine,lga,locality,mainland,named_natural_region,postcode,public_land,ridge,sea,vicgov_region,wb_lake,wb_lake_salt,wetland_swamp
3827,-36.80128,143.42644,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3828,-37.01631,142.38235,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3829,-34.49476,142.20435,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3830,-37.06436,143.51689,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3831,-36.23261,146.17388,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3832,-36.21233,143.35695,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3833,-36.71041,143.37432,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3834,-36.04816,146.38564,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,Y,N,N
3835,-36.19499,146.56246,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3836,-37.01631,142.38235,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3837,-36.59615,142.67218,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3838,-35.73147,143.28631,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3839,-35.03875,141.71564,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3840,-36.14813,146.56827,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3841,-36.36068,143.59208,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3842,-36.10599,146.6385,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3843,-36.70957,143.70898,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3844,-37.01631,142.38235,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3845,-36.01803,147.82748,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3846,-36.85322,141.63124,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3847,-36.15107,146.63829,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3848,-37.66483,144.50191,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3849,-34.26033,141.34511,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3850,-35.58269,142.05377,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3851,-37.01398,142.57002,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3852,-36.15788,144.86849,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3853,-36.15558,146.64161,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3854,-36.41269,146.02475,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3855,-37.04845,143.78506,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
