"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","LATITUDEDD_NUM","LONGITUDEDD_NUM"
"3560","High reliability","Elliott trap","Captured and released","place",7598.20929,"watercourse_stream",0.003209495,"Y","Y","Y","N",302.200012207031,0.740499973297119,36,146,131,7,2.43899989128113,0.0926000028848648,0,1.76559710502625,242.204193115234,31.6394004821777,70.7818984985352,128.388107299805,7,13.8704996109009,-38.59051,143.53142
"3562","High reliability","General observations","Captured and released","place",3960.04505,"watercourse_river",0.001072465,"Y","Y","N","N",299.200012207031,0.523000001907349,64,102,119,3,2.38730001449585,0.0359999984502792,0.52421909570694,8.10529041290283,275.114898681641,7.13749980926514,72.344596862793,15.3114995956421,3,12.2406997680664,-37.85117,144.21267
"3563","High reliability","Elliott trap","Captured and released","place",11993.49382,"watercourse_stream",0.011667102,"Y","Y","N","Y",176.800003051758,-1.60479998588562,45,136,129,6,2.24729990959167,0.0485999993979931,0,1.76559710502625,260.8623046875,25.7196998596191,68.7640991210938,36.3105010986328,6,10.8719997406006,-38.37076,146.84159
"3564","High reliability","Elliott trap","Captured and released","place",11993.49382,"watercourse_stream",0.011667102,"Y","Y","N","Y",176.800003051758,-1.60479998588562,45,136,129,6,2.24729990959167,0.0485999993979931,0,1.76559710502625,260.8623046875,25.7196998596191,68.7640991210938,36.3105010986328,6,10.8719997406006,-38.37076,146.84159
"3565","High reliability","General observations","Captured and released","place",4956.587785,"watercourse_river",0.004897841,"Y","Y","N","N",1087,-1.37720000743866,46,124,133,7,3.02600002288818,0.0913000032305718,1.43122231960297,16.5259647369385,232.634902954102,51.4738998413086,29.6555995941162,183.954498291016,7,11.563099861145,-37.37126,145.8634
"3567","low reliability","General observations","Captured and released","airport",4431.819535,"road",0.000338042,"N","N","N","Y",102,-0.376800000667572,62,98,124,12,1.98790001869202,0.0366000011563301,0.66778576374054,6.12922668457031,284.923309326172,21.1348991394043,80.3218002319336,43.060001373291,12,13.7777996063232,-38.00236,145.41296
"3569","High reliability","General observations","Captured and released","mountain",13685.98597,"road",0.0045809,"Y","Y","N","N",365.399993896484,-0.0474000014364719,35,121,139,6,2.29839992523193,0.0179999992251396,0.347609966993332,23.2114105224609,297.466888427734,-3.35700011253357,70.2794036865234,47.1894989013672,6,16.6490993499756,-37.37508,142.21498
"3570","High reliability","Elliott trap","Captured and released","place",4018.715865,"road",0.00022513,"Y","Y","Y","N",605.200012207031,0.121399998664856,19,100,114,16,2.71189999580383,0.023199999704957,0.437464654445648,10.0022192001343,272.230987548828,12.4064998626709,57.6035003662109,54.8558006286621,12,14.6883001327515,-37.48288,144.14727
"3576","High reliability","Elliott trap","Captured and released","place",7852.388871,"coast",0.012377721,"Y","Y","N","Y",1.39999997615814,-0.0394000001251697,57,145,129,104,0.480300009250641,0.0103000001981854,0,1.76559710502625,263.837585449219,22.1623992919922,87.7474975585938,45.9063987731934,104,18.0331993103027,-38.6631,146.60532
"3577","High reliability","Elliott trap","Captured and released","place",983.1023102,"watercourse_river",0.001495165,"Y","Y","N","N",596.799987792969,-6.25290012359619,66,109,75,12,2.76149988174439,0.0719999969005585,0.811296582221985,11.4478912353516,303.410614013672,30.0491008758545,40.6269989013672,118.330902099609,12,10.0495004653931,-36.53108,147.48551
"3578","High reliability","Cage trap","Captured and released","place",2946.731668,"road",0.015447315,"N","N","N","N",506.200012207031,-1.25820004940033,28,94,1,16,2.66810011863708,0.0399999991059303,2.51949954032898,11.5453023910523,302.302307128906,9.04080009460449,56.0326995849609,74.4046020507813,12,11.552300453186,-36.88133,145.72708
"3580","High reliability","General observations","Captured and released","place",5134.597727,"road",0.026550673,"N","Y","N","Y",4,0.00139999995008111,16,95,122,13,0.885699987411499,0.000899999984540045,0,1.76559710502625,272.411590576172,23.6158008575439,67.3842010498047,16.615800857544,13,18.6292991638184,-37.99891,147.60095
"3581","High reliability","Elliott trap","Captured and released","place",1807.944415,"watercourse_river",0.002179993,"Y","Y","Y","Y",429.200012207031,-1.06270003318787,66,109,108,7,2.61579990386963,0.151999995112419,0.390629410743713,8.16489219665527,270.784301757813,41.4247016906738,50.0452995300293,119.691703796387,7,11.0440998077393,-37.68558,145.83821
"3582","High reliability","Cage trap","Captured and released","place",1807.944415,"watercourse_river",0.002179993,"Y","Y","Y","Y",429.200012207031,-1.06270003318787,66,109,108,7,2.61579990386963,0.151999995112419,0.390629410743713,8.16489219665527,270.784301757813,41.4247016906738,50.0452995300293,119.691703796387,7,11.0440998077393,-37.68558,145.83821
"3583","High reliability","Elliott trap","Captured and released","mountain",431.0497876,"watercourse_river",0.016552314,"Y","Y","Y","N",232,-0.327699989080429,53,6,106,16,2.29780006408691,0.10189999639988,0.752563416957855,11.7003259658813,292.734313964844,12.4334001541138,72.1511993408203,29.0125999450684,3,14.3915996551514,-37.42429,145.14047
